tipo,localizacao,endereco,area,quarto,banheiro,vagas_garagem,valor_aluguel,condo,iptu
Apartamento,Jardim das Nações,Rua Luis Coutinho,40.0,2,1,1.0,1500,,
Casa,Jardim Parati,,80.0,2,2,,1500,175.0,74.0
Apartamento,Amambaí,Rua Doutor Arlindo de Andrade,108.0,3,1,2.0,1500,,
Apartamento,Parque Residencial dos Girassóis,Rua Petrópolis,40.0,2,1,1.0,1500,,
Casa,Jardim São Conrado,Rua Coronel Athos P. da Silveira,70.0,2,1,,1500,,
Apartamento,Vila Célia,Rua Goiás,80.0,2,1,1.0,1500,,
Apartamento,Jardim Leblon,Rua Guaianazes,78.0,3,1,1.0,1500,,
Apartamento,Vila Glória,Rua Iria Loureiro Viana,65.0,1,1,1.0,1500,364.0,101.0
Apartamento,Parque Residencial Rita Vieira,Avenida Rita Vieira de Andrade,100.0,1,1,1.0,1518,400.0,142.0
Apartamento,Coopharádio,Rua Caldas Aulete,113.0,3,1,1.0,1550,575.0,167.0
Apartamento,Jardim Paradiso,Rua Ângela Abdulahad,50.0,2,1,1.0,1560,,
Apartamento,Residencial Novo Seminário,Rua Ciro Macuco,39.0,2,1,1.0,1565,350.0,90.0
Apartamento,Vila Ipiranga,Rua Carandá,61.0,2,1,1.0,1600,350.0,78.0
Apartamento,Mata do Jacinto,Rua Jamil Basmage,87.0,3,2,1.0,1600,,
Apartamento,Vila Cidade Morena,Rua Villas de Paloma,55.0,2,1,2.0,1600,170.0,119.0
Apartamento,Pioneiros,Avenida Senador Antonio Mendes Canale,40.0,2,1,1.0,1600,,
Apartamento,Centro,Rua José Antônio,179.0,3,3,2.0,1600,1630.0,493.0
Apartamento,Monte Castelo,Rua Doutor Arthur Jorge,130.0,2,3,2.0,1600,1535.0,464.0
Apartamento,Vila Nova Campo Grande,Rua 32,71.0,2,1,1.0,1600,,953.0
Apartamento,Vila Margarida,Rua Rio Negro,60.0,3,2,,1600,470.0,195.0
Casa,Coopharádio,Rua Ortósia,,3,2,2.0,1600,,
Apartamento,Coopharádio,Rua Caldas Aulete,113.0,3,1,1.0,1600,575.0,166.0
Apartamento,Pioneiros,Avenida Senador Antonio Mendes Canale,50.0,2,1,1.0,1600,322.0,
Apartamento,Vila Albuquerque,Rua Doutor Werneck,66.0,3,2,1.0,1600,600.0,218.0
Apartamento,Vila Albuquerque,Rua Doutor Werneck,72.0,2,1,1.0,1600,566.0,185.0
Apartamento,Pioneiros,Avenida Senador Antonio Mendes Canale,50.0,2,1,1.0,1600,439.0,107.0
Apartamento,Mata do Segredo,Rua Brisas de Zaragoza,65.0,2,1,,1600,,
Casa,Aero Rancho,Rua Carlos Drummond de Andrade,80.0,3,2,2.0,1650,,
Casa,Vivendas do Parque,Rua Joana Oliveira Chaves,66.0,1,2,3.0,1650,,
Apartamento,Amambaí,Rua Engenheiro Roberto Mange,65.0,3,1,1.0,1650,,190.0
Casa,Pioneiros,Rua Euclides Costa,,3,3,,1700,,
Apartamento,Vila Carlota,Rua Spipe Calarge,,3,1,1.0,1700,412.0,
Casa,Parque Residencial União,Rua Modesto José dos Santos,50.0,2,2,2.0,1700,,98.0
Casa,Los Angeles,Rua Antônio Luiz Pereira,135.0,2,1,1.0,1700,,
Apartamento,Vila Albuquerque,Rua Doutor Werneck,60.0,2,1,1.0,1700,500.0,185.0
Casa,Jardim Tijuca,Rua Apiaí,68.0,2,1,1.0,1700,350.0,112.0
Apartamento,Bairro Seminário,Avenida Prefeito Heráclito José Diniz de Figueiredo,40.0,2,1,1.0,1700,,
Apartamento,Santa Fé,Avenida Mato Grosso,60.0,2,1,1.0,1700,,
Apartamento,Vila Ipiranga,Rua Francisco Alves Castelo,60.0,1,1,1.0,1700,260.0,65.0
Apartamento,Lotemento Portobello,Rua do Latim,56.0,2,1,1.0,1700,280.0,126.0
Apartamento,Pioneiros,Avenida Senador Antonio Mendes Canale,50.0,2,1,1.0,1750,439.0,109.0
Apartamento,Pioneiros,Avenida Senador Antonio Mendes Canale,40.0,2,1,1.0,1800,,
Apartamento,Vila Albuquerque,Rua Doutor Werneck,66.0,3,1,1.0,1800,415.0,
Casa,Vila Planalto,Rua Augusto Severo,111.0,4,2,2.0,1800,,353.0
Apartamento,Monte Castelo,Rua Eduardo Santos Pereira,84.0,3,3,1.0,1800,800.0,190.0
Apartamento,Centro,Avenida Calógeras,80.0,3,1,,1800,,
Apartamento,Centro,Rua Rui Barbosa,92.0,3,2,1.0,1800,716.0,253.0
