tipo,localizacao,endereco,area,quarto,banheiro,vagas_garagem,valor_aluguel,condo,iptu,eh_condo
Casa,Centro,Rua Brasil,36,2,1,1.0,1400,0.0,0.0,0
Apartamento,Parque Residencial Rita Vieira,Rua Cesar Ramos dos Santos,48,2,1,1.0,1400,0.0,0.0,0
Apartamento,Pioneiros,Avenida Senador Antonio Mendes Canale,46,2,2,1.0,1400,405.0,121.0,1
Apartamento,Residencial Novo Seminário,Rua Ciro Macuco,64,2,1,1.0,1400,0.0,0.0,0
Casa,Jardim América,Rua Paulo Freire,50,2,1,1.0,1400,0.0,85.0,0
Casa,Monte Castelo,Avenida Monte Castelo,60,2,1,1.0,1400,0.0,123.0,0
Apartamento,Pioneiros,Avenida Senador Antonio Mendes Canale,83,2,2,1.0,1400,280.0,108.0,1
Apartamento,Jardim Itatiaia,Rua Ayd Saravy de Souza,62,2,1,1.0,1400,0.0,73.0,0
Apartamento,Parque do Lageado,Rua Evelina Figueiredo Selingardi,42,2,2,1.0,1400,0.0,0.0,0
Casa,Parque dos Novos Estados,Rua Capiatã,76,2,1,1.0,1400,0.0,0.0,0
Apartamento,Pioneiros,Avenida Senador Antonio Mendes Canale,83,2,2,1.0,1400,280.0,108.0,1
Casa,Residencial Gama,Rua Jorge Budib,73,2,2,1.0,1400,0.0,0.0,0
Apartamento,Parque Residencial Rita Vieira,Rua Cesar Ramos dos Santos,58,2,2,1.0,1450,0.0,0.0,0
Casa,Jardim Parati,Rua da Divisão,45,3,1,1.0,1450,0.0,0.0,0
Apartamento,Santa Fé,Avenida Mato Grosso,38,1,1,1.0,1450,0.0,0.0,0
Casa,Jardim Nossa Senhora do Perpétuo Socorro,,73,2,1,3.0,1462,0.0,72.0,0
Casa,Vila Piratininga,Rua Pasteur,52,2,2,2.0,1500,0.0,0.0,0
Casa,Jardim Bonança,Rua Jardim Silveira,95,3,3,3.0,1500,0.0,0.0,0
Apartamento,Vila Nova Campo Grande,Rua 32,67,2,1,1.0,1500,0.0,918.0,0
Apartamento,Mata do Jacinto,Rua Paulo Tognini,74,2,2,1.0,1500,438.0,162.0,1
Apartamento,União,Rua Petrópolis,40,2,1,1.0,1500,0.0,0.0,0
Apartamento,Centro,Rua Marechal Rondon,155,2,1,2.0,1500,1296.0,501.0,1
Casa,Residencial Sírio Libanês I,Rua Fuad Geleláite,111,2,1,2.0,1500,0.0,0.0,0
Apartamento,Parque Residencial Rita Vieira,Avenida Rita Vieira de Andrade,80,2,1,1.0,1500,470.0,130.0,1
Casa,Los Angeles,Rua Engenheiro Paulo Frontin,51,2,1,1.0,1500,0.0,0.0,0
Apartamento,Aero Rancho,,69,2,1,1.0,1500,0.0,0.0,0
Apartamento,Monte Castelo,Rua Amazonas,37,1,1,1.0,1500,0.0,0.0,0
Casa,Jardim Colibrí,Rua Mainá,55,2,1,2.0,1500,0.0,53.0,0
Apartamento,Residencial Novo Seminário,Rua Ciro Macuco,50,2,1,1.0,1500,202.0,90.0,1
Casa,Parque dos Novos Estados,Rua Marquês de Leão,54,2,1,3.0,1500,0.0,0.0,0
Casa,Jardim Bela Vista,Rua Catumbi,112,2,1,4.0,1500,0.0,299.0,0
Apartamento,Lar do Trabalhador,Avenida dos Crisantemos,68,3,1,1.0,1500,0.0,0.0,0
Apartamento,Jardim das Nações,Rua Luis Coutinho,40,2,1,1.0,1500,0.0,0.0,0
Casa,Jardim Parati,,80,2,2,1.0,1500,175.0,74.0,1
Apartamento,Amambaí,Rua Doutor Arlindo de Andrade,108,3,1,2.0,1500,0.0,0.0,0
Apartamento,Parque Residencial dos Girassóis,Rua Petrópolis,40,2,1,1.0,1500,0.0,0.0,0
Casa,Jardim São Conrado,Rua Coronel Athos P. da Silveira,70,2,1,1.0,1500,0.0,0.0,0
